code,name,city,prov,nation,lat,lon,risk
1013A,市监测中心(停运150702),天津市,天津市,中国,39.097,117.151,1
1014A,南口路(停运161122),天津市,天津市,中国,39.173,117.193,0
1015A,勤俭道,天津市,天津市,中国,39.1661,117.1444,0
1016A,南京路(停运160601),天津市,天津市,中国,39.1205,117.184,1
1017A,大直沽八号路,天津市,天津市,中国,39.1082,117.237,0
1018A,前进道,天津市,天津市,中国,39.0927,117.202,0
1019A,淮河道,天津市,天津市,中国,39.2133,117.1837,1
1020A,天山路(停运150702),天津市,天津市,中国,39.1337,117.269,1
1021A,跃进路,天津市,天津市,中国,39.0877,117.307,0
1022A,梅江小区(停运150702),天津市,天津市,中国,39.06,117.221,0
1023A,第四大街,天津市,天津市,中国,39.0343,117.707,0
1024A,永明路,天津市,天津市,中国,38.8394,117.457,1
1025A,航天路(停运170426),天津市,天津市,中国,39.124,117.401,0
1026A,汉北路,天津市,天津市,中国,39.1587,117.764,0
1027A,团泊洼(对照点),天津市,天津市,中国,38.9194,117.157,1
1028A,化工学校(停运150703),石家庄市,河北省,中国,38.0549,114.5637,0
1029A,职工医院,石家庄市,河北省,中国,38.0444,114.4422,2
1030A,高新区,石家庄市,河北省,中国,38.0266,114.6063,2
1031A,西北水源,石家庄市,河北省,中国,38.1328,114.4898,2
1032A,西南高教,石家庄市,河北省,中国,38.0058,114.4586,1
1033A,世纪公园,石家庄市,河北省,中国,38.0178,114.5331,1
1034A,人民会堂,石家庄市,河北省,中国,38.0457,114.509,2
1035A,封龙山(对照点),石家庄市,河北省,中国,37.8911,114.3524,1
1036A,供销社(停运200110),唐山市,河北省,中国,39.6308,118.1662,1
1037A,雷达站,唐山市,河北省,中国,39.6363,118.131,2
1038A,物资局,唐山市,河北省,中国,39.6334,118.1725,2
1039A,陶瓷公司(停运200109),唐山市,河北省,中国,39.6679,118.2185,1
1040A,十二中,唐山市,河北省,中国,39.6506,118.1705,2
1041A,小山,唐山市,河北省,中国,39.622,118.1869,2
1042A,北戴河环保局,秦皇岛市,河北省,中国,39.8207,119.5134,2
1043A,第一关,秦皇岛市,河北省,中国,40.0116,119.7493,2
1044A,监测站,秦皇岛市,河北省,中国,39.9499,119.5897,2
1045A,市政府,秦皇岛市,河北省,中国,39.9358,119.607,1
1046A,建设大厦,秦皇岛市,河北省,中国,39.9041,119.5251,4
1047A,环保局,邯郸市,河北省,中国,36.61763,114.5129,1
1048A,东污水处理厂,邯郸市,河北省,中国,36.6116,114.5302,2
1049A,矿院,邯郸市,河北省,中国,36.5713,114.4918,2
1050A,丛台公园,邯郸市,河北省,中国,36.6133,114.484,2
1051A,游泳馆,保定市,河北省,中国,38.8632,115.493,1
1052A,华电二区,保定市,河北省,中国,38.8959,115.5213,1
1053A,接待中心,保定市,河北省,中国,38.9108,115.4713,1
1054A,地表水厂,保定市,河北省,中国,38.8416,115.4612,1
1055A,胶片厂,保定市,河北省,中国,38.8697,115.4323,1
1056A,监测站,保定市,河北省,中国,38.8639,115.5086,2
1057A,人民公园,张家口市,河北省,中国,40.8336,114.8883,2
1058A,探机厂,张家口市,河北省,中国,40.79481,114.892,1
1059A,五金库,张家口市,河北省,中国,40.8042,114.8687,2
1060A,世纪豪园,张家口市,河北省,中国,40.762,114.8902,2
1061A,北泵房(对照点),张家口市,河北省,中国,40.8661,114.8916,1
1062A,铁路,承德市,河北省,中国,40.9081,117.9531,2
1063A,中国银行,承德市,河北省,中国,40.9763,117.9392,2
1064A,开发区,承德市,河北省,中国,40.928,117.9503,2
1065A,文化中心,承德市,河北省,中国,40.9655,117.8051,2
1066A,离宫(对照点),承德市,河北省,中国,41.0026,117.9268,1
1067A,药材公司,廊坊市,河北省,中国,39.5111,116.6708,2
1068A,开发区,廊坊市,河北省,中国,39.5589,116.7214,6
1069A,环境监测监理中心,廊坊市,河北省,中国,39.5571,116.715,1
1070A,北华航天学院,廊坊市,河北省,中国,39.5269,116.7244,3
1071A,沧县城建局,沧州市,河北省,中国,38.2991,116.8842,1
1072A,电视转播站,沧州市,河北省,中国,38.3254,116.8584,1
1073A,市环保局,沧州市,河北省,中国,38.3228,116.8709,1
1074A,电机北厂,衡水市,河北省,中国,37.7541,115.6838,2
1075A,市监测站,衡水市,河北省,中国,37.7316,115.6303,2
1076A,市环保局,衡水市,河北省,中国,37.739,115.6906,1
1077A,达活泉,邢台市,河北省,中国,37.0886,114.4704,2
1078A,邢师高专,邢台市,河北省,中国,37.0349,114.5062,2
1079A,路桥公司,邢台市,河北省,中国,37.0851,114.5237,2
1080A,市环保局,邢台市,河北省,中国,37.0719,114.4725,2
1081A,尖草坪,太原市,山西省,中国,37.8873,112.5139,1
1082A,涧河,太原市,山西省,中国,37.9103,112.573,1
1083A,上兰(对照点),太原市,山西省,中国,38.0108,112.434,1
1084A,晋源,太原市,山西省,中国,37.7124,112.469,1
1085A,小店,太原市,山西省,中国,37.7394,112.5583,1
1086A,桃园,太原市,山西省,中国,37.8692,112.5369,1
1087A,坞城,太原市,山西省,中国,37.8195,112.57,1
1088A,南寨,太原市,山西省,中国,37.9854,112.549,1
1089A,金胜,太原市,山西省,中国,37.782,112.4701,1
1090A,呼市一监,呼和浩特市,内蒙古自治区,中国,40.7517,111.6507,1
1091A,小召,呼和浩特市,内蒙古自治区,中国,40.8033,111.6572,1
1092A,兴松小区(停运200113),呼和浩特市,内蒙古自治区,中国,40.8452,111.659,1
1093A,糖厂(停运200113),呼和浩特市,内蒙古自治区,中国,40.8144,111.608,1
1094A,如意水处理厂,呼和浩特市,内蒙古自治区,中国,40.8369,111.7516,1
1095A,二十九中,呼和浩特市,内蒙古自治区,中国,40.8062,111.7276,1
1096A,工大金川校区,呼和浩特市,内蒙古自治区,中国,40.7866,111.5512,1
1097A,化肥厂生活区,呼和浩特市,内蒙古自治区,中国,40.7612,111.717,1
1098A,森林路(对照点),沈阳市,辽宁省,中国,41.9339,123.6836,0
1099A,浑南东路,沈阳市,辽宁省,中国,41.7406,123.505,4
1100A,新秀街,沈阳市,辽宁省,中国,41.6989,123.4231,2
1101A,沧海路,沈阳市,辽宁省,中国,41.7694,123.284,0
1102A,东陵路,沈阳市,辽宁省,中国,41.8411,123.5903,5
1103A,陵东街,沈阳市,辽宁省,中国,41.8467,123.4264,0
1104A,文化路,沈阳市,辽宁省,中国,41.7653,123.4114,0
1105A,小河沿,沈阳市,辽宁省,中国,41.7867,123.4678,2
1106A,太原街,沈阳市,辽宁省,中国,41.7972,123.4017,1
1107A,南十东路,沈阳市,辽宁省,中国,41.7806,123.3606,0
1108A,京沈街,沈阳市,辽宁省,中国,41.9228,123.3783,0
1109A,甘井子,大连市,辽宁省,中国,38.9741,121.612,1
1110A,周水子,大连市,辽宁省,中国,38.9511,121.565,1
